service_name,service_id,sku_name,sku_id,sku_resource_family,sku_resource_group,sku_usage_type,sku_region,sku_vm_family
Compute Engine,6F81-5844-456A,Network Inter Region Egress from London to Los Angeles,32F7-F1DB-43DA,Network,InterregionEgress,OnDemand,europe-west2,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from London to Los Angeles,32F7-F1DB-43DA,Network,InterregionEgress,OnDemand,us-west2,
Compute Engine,6F81-5844-456A,Licensing Fee for RHEL 7 for SAP HANA (RAM cost),32FD-A9DA-B92B,License,Google,OnDemand,global,
Compute Engine,6F81-5844-456A,Nvidia Tesla A100 GPU attached to Spot Preemptible VMs running in Montreal,3305-5A2B-E352,Compute,GPU,Preemptible,northamerica-northeast1,A2
Compute Engine,6F81-5844-456A,Spot Preemptible Micro Instance with burstable CPU running in Frankfurt,330A-BDFD-96A1,Compute,F1Micro,Preemptible,europe-west3,
Compute Engine,6F81-5844-456A,A2 Instance Core running in Zurich,330C-9690-BF04,Compute,CPU,OnDemand,europe-west6,A2
Compute Engine,6F81-5844-456A,Network Google Egress from Israel to Israel,330F-95A5-42BE,Network,GoogleEgress,OnDemand,me-west1,
Compute Engine,6F81-5844-456A,Regional SSD backed PD Capacity in Mumbai,3311-200B-5973,Storage,SSD,OnDemand,asia-south1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Netherlands to Frankfurt,3312-DC53-969E,Network,VPNInterregionEgress,OnDemand,europe-west4,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Netherlands to Frankfurt,3312-DC53-969E,Network,VPNInterregionEgress,OnDemand,europe-west3,
Compute Engine,6F81-5844-456A,Network Google Egress from Los Angeles to Los Angeles,3314-F46F-569E,Network,GoogleEgress,OnDemand,us-west2,
Compute Engine,6F81-5844-456A,N2D AMD Sole Tenancy Instance Core running in Salt Lake City,332B-D9F0-D6A3,Compute,CPU,OnDemand,us-west3,N2D
Compute Engine,6F81-5844-456A,Commitment v1: Memory-optimized Cpu in Paris for 3 Years,3337-6A3D-39AA,Compute,CPU,Commit3Yr,europe-west9,
Compute Engine,6F81-5844-456A,Sole Tenancy Overcommit Premium for Sole Tenancy Instance Core running in Finland,3339-2735-6C1B,Compute,CPU,OnDemand,europe-north1,
Compute Engine,6F81-5844-456A,Spot Preemptible N2 Instance Core running in Salt Lake City,333F-8B96-7AC3,Compute,CPU,Preemptible,us-west3,N2
Compute Engine,6F81-5844-456A,Licensing Fee for SQL Server 2014 Web on VM with 16 VCPU,3342-CCF1-5FD3,License,SQLServer2014Web,OnDemand,global,
Compute Engine,6F81-5844-456A,Spot Preemptible E2 Instance Ram running in Salt Lake City,3343-1813-F7C7,Compute,RAM,Preemptible,us-west3,E2
Compute Engine,6F81-5844-456A,Licensing Fee for SQL Server 2017 Enterprise on VM with 52 VCPU,3344-2516-5DD8,License,Google,OnDemand,global,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Osaka to Salt Lake City,3345-E472-A8AB,Network,VPNInterregionIngress,OnDemand,asia-northeast2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Osaka to Salt Lake City,3345-E472-A8AB,Network,VPNInterregionIngress,OnDemand,us-west3,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Las Vegas to Santiago,3346-1FE1-6423,Network,InterregionIngress,OnDemand,us-west4,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Las Vegas to Santiago,3346-1FE1-6423,Network,InterregionIngress,OnDemand,southamerica-west1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Las Vegas to Salt Lake City,3347-FA2B-24EA,Network,VPNInterregionIngress,OnDemand,us-west4,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Las Vegas to Salt Lake City,3347-FA2B-24EA,Network,VPNInterregionIngress,OnDemand,us-west3,
Compute Engine,6F81-5844-456A,Network Vpn Internet Ingress from Australia to Las Vegas,3352-0882-6053,Network,VPNInternetIngress,OnDemand,us-west4,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Jakarta to Toronto,3353-DCA5-2E5D,Network,VPNInterregionEgress,OnDemand,asia-southeast2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Jakarta to Toronto,3353-DCA5-2E5D,Network,VPNInterregionEgress,OnDemand,northamerica-northeast2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Mumbai to Sydney,3360-7E15-FCFD,Network,InterregionIngress,OnDemand,asia-south1,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Mumbai to Sydney,3360-7E15-FCFD,Network,InterregionIngress,OnDemand,australia-southeast1,
Compute Engine,6F81-5844-456A,Spot Preemptible N2D AMD Custom Extended Instance Ram running in Sydney,3360-C398-DEDC,Compute,RAM,Preemptible,australia-southeast1,N2D
Compute Engine,6F81-5844-456A,Spot Preemptible Memory-optimized Instance Core running in Jakarta,3364-3614-66EE,Compute,CPU,Preemptible,asia-southeast2,
Compute Engine,6F81-5844-456A,Commitment v1: N2D AMD Ram in Madrid for 1 Year,3368-4E61-F3E0,Compute,RAM,Commit1Yr,europe-southwest1,N2D
Compute Engine,6F81-5844-456A,C2D AMD Custom Instance Ram running in Las Vegas,3381-D4A6-9741,Compute,RAM,OnDemand,us-west4,C2D
Compute Engine,6F81-5844-456A,Licensing Fee for Billing test license. (CPU cost),3399-7E4C-9798,License,Google,OnDemand,global,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Sydney to Americas,339A-9149-B47D,Network,VPNInterregionEgress,OnDemand,australia-southeast1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Sydney to Americas,339A-9149-B47D,Network,VPNInterregionEgress,OnDemand,us-central1,
Compute Engine,6F81-5844-456A,Sole Tenancy Premium for Sole Tenancy Instance Core running in London,339E-49F3-9EF8,Compute,CPU,OnDemand,europe-west2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Madrid to Sao Paulo,339F-C8B4-176F,Network,VPNInterregionIngress,OnDemand,europe-southwest1,
